track.id,track.name,track.album.name
1a2iF9XymafjRk56q7oCxo,Pride and Joy,Texas Flood (Legacy Edition)
1sxtxIKhRiQwuGpUwHoEHq,Crossroads - Live,The Cream Of Clapton
44s75M70lhq25s3CiW0pxq,Should I Wait,The Alligator Records Years
2bIfM0ZOF4gxK1BeqH3Djm,Why I Sing The Blues,Live And Well
2Qj1FilGsXITZbFVmVeoLy,I'm Tore Down,Getting Ready... (World)
2SL0h7FKhJ1O5DcvmvPqU5,Black Magic Woman,English Rose
5goa9CsIDXc9G0Df9dL9ft,Stone Crazy,I Was Walking Through The Woods (Expanded Edition)
61K6lqGyrl2Aerk0LjAZem,Rollin' Stone,The Chess Box
4c0Mgs559lG4sPiEC3XcxY,To Know You Is To Love You,To Know You Is To Love You
5MVMARaMoclifNmBtPu0dD,Love Struck Baby,Texas Flood (Legacy Edition)
2hv2NiSq8p4pgL28pxcqAJ,Trouble No More,The Allman Brothers Band (Deluxe)
1yKah8BCP3Vgq2tPBOLKL0,All Your Love - Stereo,Bluesbreakers
2ROJOb98GorxStuOuZWcGd,Have You Ever Loved A Woman?,Layla And Other Assorted Love Songs (Remastered 2010)
3ocm1Cf1Dk1ODrdBdybh82,Born Under A Bad Sign - Mono Mix,Born Under A Bad Sign (Mono)
1oFxUEfggP19VJZ8LReLd5,Don't Start Me To Talkin',His Best
4NQfrmGs9iQXVQI9IpRhjM,The Thrill Is Gone,Completely Well
2FtX5tOFUVOyjcGQiuGR8f,"Damn Right, I've Got the Blues","Damn Right, I've Got The Blues"
3YGsgJqtIWKjMjZtKLk11Z,Be Careful With a Fool,Johnny Winter
4Gia17DzXBhYFbYiJj6SyW,Working Man,Mourning In The Morning
2Cg3GUkhjX96nO4p2WRlIa,She's A Sweet One,"Calling All Blues - The Chief, Profile & USA Recordings 1957-1963"
512gC8sU5PxZAFrskHEfzk,Little Angel Child,Fast Fingers
0RTjFVHvqjTdpX2NawwyXI,Stumble,My Feeling For the Blues
3XxBSvDZKH5YvZZjTpn6eR,Red House,Are You Experienced
7BbQQzr1suaBHpJDXDXIj9,Texas Flood,The Best Of Duke-Peacock Blues
1cRTAPP2FG9h2WiYMOIVIK,The Sky Is Crying,Shake Your Money Maker: The Best Of The Fire Sessions
5PHnHhiVMiMjzYOqz7AJQQ,Feels Like Rain (feat. Bonnie Raitt),Buddy's Baddest: The Best Of Buddy Guy
6gJnxMZphJt3sk2JJXTkoJ,Boom Boom,Urban Blues (Expanded Edition)
1i7nQGgwloILcp6ZftH2Qa,Call It Stormy Monday,T-Bone Blues
1HRx7dciQYCv76XvbBDAGM,T-Bone Shuffle,Deluxe Edition
73GEVn1tqk9bn0KbtWsiqj,All Your Love,The Essential Magic Sam: The Cobra and Chief Recordings 1957-1961
36ccrof5DFicLrejE4hEye,Walking By Myself,Chicago Bound
57W5o6ojTFtydDMZ0mDDB3,Juke,The Essential Little Walter
65VzqBb5ogD2xIFD8jetMG,Got My Mojo Working,His Best 1956-1964 - The Chess 50th Anniversary Collection
0tYJ6uY0ETQOtOM8KySMSp,Mean Mistreater,Johnny Winter
7mNFrf8IfgaWMFCz64CtK4,Boogie Chillen,King Of The Boogie
6KSa2Y1HnG0XlPQfEN4Xgi,Reconsider Baby,The Complete Chess Masters
7p5Xpx7dd9wSPJF4Q4Nfbu,Part Time Love,This Is Clarence Carter
50y6y3iwBlKKev2U4a6GK5,Let The Good Times Roll,The Best Of Louis Jordan
58PSYdY0GFg0LFb2PxYk4T,Mannish Boy,King Of The Electric Blues
2mVp83pLkWJN03Ha8Txydf,"Do Right Woman, Do Right Man",Heart & Soul: A Retrospective
5bC6ONDsL88snGN6QasjZH,Help Me,More Real Folk Blues
3kkCpDqhrOEBf0eOR2igEE,Give Me Back My Wig - Remastered,Alligator Records 50 Years Of Genuine Houserockin' Music
1TRIYxcVJYPki5AX2hZzZT,Bad News Is Coming,Bad News Is Coming
3gg0xEc2b4eEbYySLmfFU1,Mean Old World,T-Bone Blues
35X1ucjCm7rHK80qJ413ci,Somebody Loan Me A Dime,Somebody Loan Me A Dime
5Oc0vLGWdEWeCqIU8zyELt,Hound Dog,Ball n' Chain
0WvSYVnEXD7QLa5pDJ920S,Crosscut Saw - Mono Mix,Born Under A Bad Sign (Mono)
4lbqUtqgX3dITgYJMBjCDS,Ain't Got Nobody,Genuine Houserocking Music
760clbeDBWmBsBLbszWuNZ,I'm A Man,Bo Diddley
2PcbVKT28p9mOlWBDL371J,I Can't Quit You Baby,Poet Of the Blues (Mojo Workin'- Blues For The Next Generation)
6kucNn22HB0qb2ZPa1BrNl,"Cold, Cold Feeling",Ice Pickin'
0h06YSqzwbAU9ZDuIvw8pk,Love Me Like a Man - 2008 Remaster,Give It Up (2008 Remaster)
2wnjZXcAT3rCjjqxLeHjv7,Going Down,Getting Ready... (World)
5x7Oxaa9EEIx9nw17CC5yW,Chains And Things,Indianola Mississippi Seeds
6tilCYbheGMHo3Hw4F22hF,Short Dressed Woman,"Easy Blues (France, 1978) [Blues Reference]"
6ECnAHxGQilDe32zQqfdz3,You Don't Want Me,Two Bugs and a Roach
1ekio2Gk6WycLArAUJZfxM,Albert's Shuffle,Bloomfield-A Retrospective
3Gq3uFAdJltar4ddwboPby,Little Red Rooster,Poet Of the Blues (Mojo Workin'- Blues For The Next Generation)
6f3OYG5R630tjwFIHIE7j2,Scratch My Back,The Fabulous Thunderbirds
227N0C668UQBiN3T4HFzoQ,Blue Monday Hangover - Remastered,Alligator Records 50 Years Of Genuine Houserockin' Music
3NWDb3bbMBTArBblzG4jMX,The Things That I Used To Do,Sufferin' Mind
3E0VKSvZp76kvBU2WwwBul,Leaving Trunk,Taj Mahal
1cXc92MX9kFjMrrDsvdf9w,Wang Dang Doodle,Koko Taylor
4KMXlzvtC8xjLseDqDjpeU,My Babe,The Essential Little Walter
1kPBT8S2wJFNAyBMnGVZgL,I'd Rather Go Blind,Tell Mama
79lwbvYgFFw3eNbBx4bBRw,Two Bugs and a Roach,Two Bugs and a Roach
7pzDaHQx6WFWtdx9PLPxcx,Double Trouble,The Essential Otis Rush
2HUZVffVPXvqnrml0gXggp,Smokestack Lightnin',Moanin' In The Moonlight
5KZrHPwscBkXturVJCJlM4,Now That I'm Down,The Son Seals Blues Band
2r6Ve8kNEzqg3u45UL0muX,Big Chief - Remastered,Crawfish Fiesta (Remastered with Bonus Track)
